,id,sequencePath,length,composer,ensemble,composition,movement,id_cat,composer_cat,ensemble_cat,composition_cat,movement_cat
14,1776,train_data/1776.wav,11617594,Schubert,Solo Piano,Piano Sonata in D major,2. Con moto,28,9,12,48,73
12,1771,train_data/1771.wav,10357865,Schubert,Solo Piano,Piano Sonata in D-flat major,1. Allegro moderato,24,9,12,49,14
61,2406,train_data/2406.wav,9792784,Beethoven,Solo Piano,Piano Sonata No 20 in A-flat major,3. Adagio ma non troppo,220,1,12,26,106
59,2397,train_data/2397.wav,9968745,Beethoven,Accompanied Violin,Violin Sonata No 9 in A major,1. Adagio sostenuto - Presto,215,1,2,93,3
47,2319,train_data/2319.wav,9934472,Beethoven,Clarinet-Cello-Piano Trio,Trio in E-flat major,2. Scherzo: Allegro ma non troppo,176,1,4,82,99
3,1742,train_data/1742.wav,14792412,Schubert,Viola Quintet,String Quintet in C major,2. Adagio,8,9,16,79,38
44,2314,train_data/2314.wav,9089777,Beethoven,String Quartet,String Quartet No 15 in A minor,2. Allegro ma non tanto,173,1,14,66,56
72,2492,train_data/2492.wav,7691285,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,4. Rondo: Poco allegretto e grazioso,257,1,12,39,186
70,2482,train_data/2482.wav,9088523,Beethoven,String Quartet,String Quartet No 5 in A major,3. Andante cantabile (Theme with variations,250,1,14,73,118
39,2166,train_data/2166.wav,10228716,Faure,Piano Quartet,Piano Quartet No 2 in G minor,1. Allegro molto moderato,98,5,7,12,17
64,2441,train_data/2441.wav,12718498,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,1. Allegro,234,1,12,36,6
27,2112,train_data/2112.wav,14360242,Brahms,Accompanied Cello,Cello Sonata No 1 in E minor,1. Allegro non troppo,74,2,0,1,18
17,1789,train_data/1789.wav,7381245,Mozart,String Quartet,String Quartet No 19 in C major,2. Andante cantabile,31,7,14,70,62
50,2330,train_data/2330.wav,8514665,Beethoven,Accompanied Violin,Violin Sonata No 1 in D major,1. Allegro con brio,180,1,2,85,9
35,2155,train_data/2155.wav,9697907,Brahms,String Sextet,String Sextet No 1 in B-flat major,"2. Andante, ma moderato",91,2,15,80,69
2,1739,train_data/1739.wav,7847184,Schubert,Piano Trio,Piano Trio in B-flat major,4. Rondo. Allegro vivace,7,9,9,54,181
41,2177,train_data/2177.wav,7853454,Ravel,String Quartet,String Quartet in F,1. Allegro moderato - tres doux,102,8,14,78,15
54,2376,train_data/2376.wav,9300846,Beethoven,String Quartet,String Quartet No 8 in E minor,1. Allegro,202,1,14,76,6
29,2147,train_data/2147.wav,8028996,Brahms,String Sextet,String Sextet No 2 in G major,4. Poco allegro,85,2,15,81,176
66,2444,train_data/2444.wav,12330632,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,4. Introduzione: Largo...Allegro - Fuga: Allegro risoluto,237,1,12,36,172
37,2158,train_data/2158.wav,7714273,Brahms,Horn Piano Trio,Horn Trio in E-flat major,1. Andante,94,2,5,8,22
18,1792,train_data/1792.wav,7564644,Mozart,String Quartet,String Quartet No 19 in C major,1. Adagio - Allegro,34,7,14,70,1
6,1751,train_data/1751.wav,7610619,Schubert,Solo Piano,Piano Sonata in A minor,3. Scherzo. Allegro vivace - Trio. Un poco piu lento,11,9,12,46,151
32,2150,train_data/2150.wav,9585476,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,3. Andante con moto,88,2,7,11,119
75,2509,train_data/2509.wav,7749800,Beethoven,Solo Piano,Piano Sonata No 2 in A major,1. Allegro vivace,266,1,12,25,19
1,1735,train_data/1735.wav,11438707,Schubert,Solo Piano,Piano Sonata in A major,4. Rondo. Allegretto,6,9,12,45,179
0,1733,train_data/1733.wav,8736183,Schubert,Solo Piano,Piano Sonata in A major,2. Andantino,4,9,12,45,70
24,1872,train_data/1872.wav,8151458,Mozart,Piano Trio,Piano Trio No 3 in B-flat major,2. Larghetto,50,7,9,50,79
34,2154,train_data/2154.wav,14307579,Brahms,String Sextet,String Sextet No 1 in B-flat major,1. Allegro ma non troppo,90,2,15,80,12
56,2381,train_data/2381.wav,8968987,Beethoven,String Quartet,String Quartet No 13 in B-flat major,"1. Adagio, ma non troppo - Allegro",205,1,14,64,4
53,2366,train_data/2366.wav,15058652,Beethoven,String Quartet,String Quartet No 12 in E-flat major,"2. Adagio, ma non troppo e molto cantabile",196,1,14,62,50
63,2436,train_data/2436.wav,10950113,Beethoven,Solo Piano,Piano Sonata No 21 in C major,1. Allegro con brio,233,1,12,29,9
69,2476,train_data/2476.wav,7590975,Beethoven,Solo Piano,Piano Sonata No 3 in C major,2. Adagio,245,1,12,37,38
