id,sequencePath,length,composer,ensemble,composition,movement,id_cat,composer_cat,ensemble_cat,composition_cat,movement_cat
1733,train_data/1733.wav,8736183,Schubert,Solo Piano,Piano Sonata in A major,2. Andantino,4,9,12,45,70
1735,train_data/1735.wav,11438707,Schubert,Solo Piano,Piano Sonata in A major,4. Rondo. Allegretto,6,9,12,45,179
1739,train_data/1739.wav,7847184,Schubert,Piano Trio,Piano Trio in B-flat major,4. Rondo. Allegro vivace,7,9,9,54,181
1742,train_data/1742.wav,14792412,Schubert,Viola Quintet,String Quintet in C major,2. Adagio,8,9,16,79,38
1749,train_data/1749.wav,11141956,Schubert,Solo Piano,Piano Sonata in A minor,1. Moderato,9,9,12,46,32
1750,train_data/1750.wav,12546717,Schubert,Solo Piano,Piano Sonata in A minor,2. Andante poco mosso,10,9,12,46,66
1751,train_data/1751.wav,7610619,Schubert,Solo Piano,Piano Sonata in A minor,3. Scherzo. Allegro vivace - Trio. Un poco piu lento,11,9,12,46,151
1757,train_data/1757.wav,11369744,Schubert,Solo Piano,Piano Sonata in C minor,1. Allegro,15,9,12,47,6
1758,train_data/1758.wav,7494427,Schubert,Solo Piano,Piano Sonata in C minor,2. Adagio,16,9,12,47,38
1760,train_data/1760.wav,10489104,Schubert,Solo Piano,Piano Sonata in C minor,4. Allegro,18,9,12,47,161
1763,train_data/1763.wav,9605120,Schubert,Solo Piano,4 Impromptus,1. Impromptu in F minor,19,9,12,0,27
1765,train_data/1765.wav,10825561,Schubert,Solo Piano,4 Impromptus,3. Impromptu in B-flat major,21,9,12,0,124
1771,train_data/1771.wav,10357865,Schubert,Solo Piano,Piano Sonata in D-flat major,1. Allegro moderato,24,9,12,49,14
1775,train_data/1775.wav,9251527,Schubert,Solo Piano,Piano Sonata in D major,1. Allegro vivace,27,9,12,48,19
1776,train_data/1776.wav,11617594,Schubert,Solo Piano,Piano Sonata in D major,2. Con moto,28,9,12,48,73
1777,train_data/1777.wav,10071981,Schubert,Solo Piano,Piano Sonata in D major,3. Scherzo. Allegro vivace,29,9,12,48,150
1788,train_data/1788.wav,8211069,Mozart,String Quartet,String Quartet No 19 in C major,1. Adagio - Allegro,30,7,14,70,1
1789,train_data/1789.wav,7381245,Mozart,String Quartet,String Quartet No 19 in C major,2. Andante cantabile,31,7,14,70,62
