,start_time,end_time,instrument,note,start_beat,end_beat,note_value,id,length,id_cat
2922,32681.36054421769,33610.15873015873,1,42,0.0,0.1,Triplet Sixty Fourth,1733,8736183,0
2923,32681.36054421769,82093.42403628118,1,69,0.0,3.0,Dotted Quarter,1733,8736183,0
2924,54415.23809523809,67232.6530612245,1,61,1.0,1.0,Eighth,1733,8736183,0
2925,67232.6530612245,82093.42403628118,1,49,2.0,1.0,Eighth,1733,8736183,0
2926,82093.42403628118,83765.26077097506,1,41,3.0,0.1,Triplet Sixty Fourth,1733,8736183,0
2927,82093.42403628118,122403.26530612246,1,68,3.0,3.0,Dotted Quarter,1733,8736183,0
2928,96768.43537414966,107914.01360544216,1,61,4.0,1.0,Eighth,1733,8736183,0
2929,107914.01360544216,122403.26530612246,1,49,5.0,1.0,Eighth,1733,8736183,0
2930,119245.3514739229,122403.26530612246,1,71,5.75,0.25,Thirty Second,1733,8736183,0
2931,122403.26530612246,123889.34240362812,1,42,6.0,0.1,Triplet Sixty Fourth,1733,8736183,0
2932,122403.26530612246,129833.6507936508,1,69,6.0,0.5,Sixteenth,1733,8736183,0
2933,129833.6507936508,137078.27664399092,1,68,6.5,0.5,Sixteenth,1733,8736183,0
2934,137078.27664399092,145251.7006802721,1,69,7.0,0.75,Dotted Sixteenth,1733,8736183,0
2935,137078.27664399092,148595.37414965985,1,61,7.0,1.0,Eighth,1733,8736183,0
2936,145251.7006802721,148595.37414965985,1,73,7.75,0.25,Thirty Second,1733,8736183,0
2937,148595.37414965985,163084.62585034015,1,49,8.0,1.0,Eighth,1733,8736183,0
2938,148595.37414965985,163084.62585034015,1,69,8.0,1.0,Eighth,1733,8736183,0
2939,163084.62585034015,164756.09977324263,1,41,9.0,0.1,Triplet Sixty Fourth,1733,8736183,0
2940,163084.62585034015,201165.3514739229,1,68,9.0,3.0,Dotted Quarter,1733,8736183,0
2941,174044.44444444444,186676.09977324263,1,61,10.0,1.0,Eighth,1733,8736183,0
2942,186676.09977324263,201165.3514739229,1,49,11.0,1.0,Eighth,1733,8736183,0
2943,201165.3514739229,239803.3560090703,1,73,12.0,3.0,Dotted Quarter,1733,8736183,0
2944,201165.3514739229,203022.947845805,1,45,12.0,0.1,Triplet Sixty Fourth,1733,8736183,0
2945,215097.32426303855,226242.9024943311,1,61,13.0,1.0,Eighth,1733,8736183,0
2946,226242.9024943311,239803.3560090703,1,49,14.0,1.0,Eighth,1733,8736183,0
2947,239803.3560090703,284199.90929705213,1,74,15.0,3.0,Dotted Quarter,1733,8736183,0
2948,239803.3560090703,241103.67346938775,1,47,15.0,0.1,Triplet Sixty Fourth,1733,8736183,0
