id,sequencePath,length,composer,ensemble,composition,movement,id_cat,composer_cat,ensemble_cat,composition_cat,movement_cat
2302,train_data/2302.wav,1733277,Bach,Solo Piano,"WTK I, No. 5: Prelude and Fugue in D major",2. Fugue,165,0,12,113,76
2476,train_data/2476.wav,7590975,Beethoven,Solo Piano,Piano Sonata No 3 in C major,2. Adagio,245,1,12,37,38
2528,train_data/2528.wav,7419612,Beethoven,Solo Piano,Piano Sonata No 5 in C minor,2. Adagio molto,275,1,12,40,49
2542,train_data/2542.wav,10415961,Beethoven,Solo Piano,Piano Sonata No 28 in A major,3. Langsam und sehnsuchtsvoll,284,1,12,35,125
1775,train_data/1775.wav,9251527,Schubert,Solo Piano,Piano Sonata in D major,1. Allegro vivace,27,9,12,48,19
2512,train_data/2512.wav,6776373,Beethoven,Solo Piano,Piano Sonata No 2 in A major,4. Rondo: Grazioso,268,1,12,25,184
2348,train_data/2348.wav,7899429,Beethoven,Solo Piano,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,189,1,12,19,139
2322,train_data/2322.wav,10335713,Beethoven,Solo Piano,Piano Sonata No 23 in F minor,1. Allegro assai,178,1,12,31,8
1772,train_data/1772.wav,6679406,Schubert,Solo Piano,Piano Sonata in D-flat major,2. Andante molto,25,9,12,49,65
2325,train_data/2325.wav,8821447,Beethoven,Solo Piano,Piano Sonata No 23 in F minor,1. Allegro assai,179,1,12,31,8
1777,train_data/1777.wav,10071981,Schubert,Solo Piano,Piano Sonata in D major,3. Scherzo. Allegro vivace,29,9,12,48,150
1776,train_data/1776.wav,11617594,Schubert,Solo Piano,Piano Sonata in D major,2. Con moto,28,9,12,48,73
1771,train_data/1771.wav,10357865,Schubert,Solo Piano,Piano Sonata in D-flat major,1. Allegro moderato,24,9,12,49,14
2486,train_data/2486.wav,7170508,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,"2. Largo, con gran espressione",252,1,12,39,85
2529,train_data/2529.wav,4408216,Beethoven,Solo Piano,Piano Sonata No 5 in C minor,3. Finale: Prestissimo,276,1,12,40,122
2487,train_data/2487.wav,5435142,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,3. Allegro,253,1,12,39,112
2509,train_data/2509.wav,7749800,Beethoven,Solo Piano,Piano Sonata No 2 in A major,1. Allegro vivace,266,1,12,25,19
2247,train_data/2247.wav,1299854,Bach,Solo Piano,"WTK I, No. 9: Prelude and Fugue in E major",2. Fugue,149,0,12,117,76
2357,train_data/2357.wav,5722698,Beethoven,Solo Piano,Piano Sonata No 15 in D major,2. Andante,191,1,12,20,61
2555,train_data/2555.wav,3579403,Beethoven,Solo Piano,Piano Sonata No 30 in E major,1. Vivace ma non troppo / Adagio espresivo,286,1,12,38,36
2550,train_data/2550.wav,2884755,Beethoven,Solo Piano,Piano Sonata No 24 in F-sharp major,2. Allegro vivace,285,1,12,32,59
2491,train_data/2491.wav,5297215,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,3. Allegro,256,1,12,39,112
2392,train_data/2392.wav,7001235,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,2. Adagio,213,1,12,22,38
2411,train_data/2411.wav,2065137,Beethoven,Solo Piano,Piano Sonata No 13 in E-flat major,2. Allegro molto e vivace,222,1,12,18,58
2393,train_data/2393.wav,6130626,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,3. Allegretto,214,1,12,22,110
2390,train_data/2390.wav,6273568,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,3. Allegretto,211,1,12,22,110
2310,train_data/2310.wav,883984,Bach,Solo Piano,"WTK I, No. 15: Prelude and Fugue in G major",1. Prelude,171,0,12,100,34
2527,train_data/2527.wav,6177855,Beethoven,Solo Piano,Piano Sonata No 5 in C minor,1. Allegro molto e con brio,274,1,12,40,16
2477,train_data/2477.wav,3533845,Beethoven,Solo Piano,Piano Sonata No 3 in C major,3. Scherzo: Allegro,246,1,12,37,152
2492,train_data/2492.wav,7691285,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,4. Rondo: Poco allegretto e grazioso,257,1,12,39,186
2537,train_data/2537.wav,4590864,Beethoven,Solo Piano,Piano Sonata No 20 in G major,1. Allegro ma non troppo,281,1,12,28,12
2607,train_data/2607.wav,10783765,Beethoven,Solo Piano,Piano Sonata No 16 in G major,2. Adagio grazioso,312,1,12,21,47
2443,train_data/2443.wav,16562051,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,3. Adagio sostenuto,236,1,12,36,109
2540,train_data/2540.wav,4216373,Beethoven,Solo Piano,Piano Sonata No 28 in A major,1. Etwas lebhaft und mit der innigsten Empfindung,283,1,12,35,26
2364,train_data/2364.wav,4751778,Beethoven,Solo Piano,Piano Sonata No 15 in D major,4. Rondo: Allegro ma non troppo,194,1,12,20,183
2308,train_data/2308.wav,1949362,Bach,Solo Piano,"WTK I, No. 18: Prelude and Fugue in G-sharp minor",1. Prelude,170,0,12,103,34
2557,train_data/2557.wav,12196049,Beethoven,Solo Piano,Piano Sonata No 30 in E major,"3. Gesangvoll, mit innigster Empfindung",288,1,12,38,123
1773,train_data/1773.wav,4918126,Schubert,Solo Piano,Piano Sonata in D-flat major,3. Menuetto. Allegretto,26,9,12,49,131
2300,train_data/2300.wav,3810952,Bach,Solo Piano,"WTK I, No. 8: Prelude and Fugue in E-flat minor",1. Prelude,164,0,12,116,34
2410,train_data/2410.wav,5015511,Beethoven,Solo Piano,Piano Sonata No 13 in E-flat major,1. Andante - Allegro - Andante,221,1,12,18,23
2490,train_data/2490.wav,8306939,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,"2. Largo, con gran espressione",255,1,12,39,85
2304,train_data/2304.wav,3141800,Bach,Solo Piano,"WTK I, No. 14: Prelude and Fugue in F-sharp minor",2. Fugue,167,0,12,99,76
2305,train_data/2305.wav,1042391,Bach,Solo Piano,"WTK I, No. 14: Prelude and Fugue in F-sharp minor",1. Prelude,168,0,12,99,34
2538,train_data/2538.wav,3394665,Beethoven,Solo Piano,Piano Sonata No 20 in G major,2. Tempo di Menuetto,282,1,12,28,101
2307,train_data/2307.wav,2195122,Bach,Solo Piano,"WTK I, No. 18: Prelude and Fugue in G-sharp minor",2. Fugue,169,0,12,103,76
2389,train_data/2389.wav,7194750,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,2. Adagio,210,1,12,22,38
2442,train_data/2442.wav,2800745,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,2. Scherzo: Assai vivace,235,1,12,36,100
2603,train_data/2603.wav,6691945,Beethoven,Solo Piano,Piano Sonata No 26 in E-flat major,1. Das Lebewohl,311,1,12,33,25
